Variable,VIF
Mobile Cellular Subscriptions (per 100 people),36.71237397711522
Fixed Broadband Subsciptions (per 100 people),13.008541305005634
Made a digital in-store merchant payment: using a mobile phone (% age 15+),6.5057197535735245
Made a utility payment: using a mobile phone (% age 15+),6.65843108757999
Used a mobile phone or the internet to buy something online (% age 15+),24.475125478210654
"GDP per capita, PPP (constant 2021 international $)",17.64050412087874
Population density (people per sq. km of land area),4.644817703901517
Population growth (annual %),11.587202998986891
"Agriculture, forestry, and fishing, value added (percent of GDP)",44.01924455695301
Crop production index (2014-2016 = 100),184.49546998988518
foodSupply_stability,2.9241282046982806
Rural Access to Electricity(Percent of Population),75.14026275886724
"Fertility rate, total (births per woman)",112.15121268853055
"Mortality rate, infant (per 1,000 live births)",44.997052480700944
Rural population (% of total population),51.35107603133612
