Variable,VIF
Mobile Cellular Subscriptions (per 100 people),18.93966998459444
Fixed Broadband Subsciptions (per 100 people),6.92320712182824
Made a digital in-store merchant payment: using a mobile phone (% age 15+),4.899698934897765
Made a utility payment: using a mobile phone (% age 15+),3.716782019720952
"GDP per capita, PPP (constant 2021 international $)",10.6047004352406
Population density (people per sq. km of land area),2.1063926170940483
Population growth (annual %),7.776274715274664
"Agriculture, forestry, and fishing, value added (percent of GDP)",24.496304585992533
foodSupply_stability,1.8765059685162977
"Mortality rate, infant (per 1,000 live births)",17.97837580690109
