Variable,VIF
Fixed Broadband Subsciptions (per 100 people),5.984047531041341
Made a digital in-store merchant payment: using a mobile phone (% age 15+),4.787048500119059
Made a utility payment: using a mobile phone (% age 15+),3.58031273838312
"GDP per capita, PPP (constant 2021 international $)",8.829748186068297
Population density (people per sq. km of land area),1.9830599790114762
Population growth (annual %),7.561242657292945
foodSupply_stability,1.870152014731619
"Mortality rate, infant (per 1,000 live births)",5.265921585688111
