Variable,VIF
Mobile Cellular Subscriptions (per 100 people),26.730154692884312
Fixed Broadband Subsciptions (per 100 people),7.297124391421639
Made a digital in-store merchant payment: using a mobile phone (% age 15+),5.041886271148186
Made a utility payment: using a mobile phone (% age 15+),4.274703459679849
"GDP per capita, PPP (constant 2021 international $)",15.68633688727953
Population density (people per sq. km of land area),2.5363475092730243
Population growth (annual %),8.536286943485646
"Agriculture, forestry, and fishing, value added (percent of GDP)",35.39081771841687
foodSupply_stability,1.944367269029486
Rural Access to Electricity(Percent of Population),41.62388770433117
"Mortality rate, infant (per 1,000 live births)",23.292656963718972
Rural population (% of total population),38.49795968767392
