Variable,VIF
Mobile Cellular Subscriptions (per 100 people),11.032277039256673
Fixed Broadband Subsciptions (per 100 people),6.913932875169729
Made a digital in-store merchant payment: using a mobile phone (% age 15+),4.821565912604718
Made a utility payment: using a mobile phone (% age 15+),3.6481981955173834
"GDP per capita, PPP (constant 2021 international $)",10.541912830428341
Population density (people per sq. km of land area),2.040103872482843
Population growth (annual %),7.605301683359136
foodSupply_stability,1.8726816082750204
"Mortality rate, infant (per 1,000 live births)",5.98570042567057
