Variable,VIF
Mobile Cellular Subscriptions (per 100 people),37.806116710075756
Fixed Broadband Subsciptions (per 100 people),13.292793072849923
Made a digital in-store merchant payment: using a mobile phone (% age 15+),6.51457702958343
Made a utility payment: using a mobile phone (% age 15+),6.662219947753198
Used a mobile phone or the internet to buy something online (% age 15+),24.483081897273845
"GDP per capita, PPP (constant 2021 international $)",17.777709053377528
Population density (people per sq. km of land area),4.68824809710477
Population growth (annual %),11.853529673433924
"Population, total",1.996563598418454
"Agriculture, forestry, and fishing, value added (percent of GDP)",44.072163498338014
Crop production index (2014-2016 = 100),191.67246441855198
foodSupply_stability,2.9242523393240716
Rural Access to Electricity(Percent of Population),79.62062312130793
"Fertility rate, total (births per woman)",124.48209990942674
"Mortality rate, infant (per 1,000 live births)",45.73658391004749
Rural population (% of total population),51.69609242766764
