Country Code,year,Account (% age 15+),"Account, female (% age 15+)","Account, male (% age 15+)","Account, rural (% age 15+)","Account, urban (% age 15+)",Financial institution account (% age 15+),"Financial institution account, female (% age 15+)","Financial institution account, male (% age 15+)","Financial institution account, rural (% age 15+)","Financial institution account, urban (% age 15+)",Mobile money account (% age 15+),"Mobile money account, female (% age 15+)","Mobile money account, male (% age 15+)","Mobile money account, rural (% age 15+)","Mobile money account, urban (% age 15+)",Own a mobile phone (% age 15+),Owns a debit or credit card (% age 15+),"Owns a debit or credit card, female (% age 15+)","Owns a debit or credit card, male (% age 15+)","Owns a debit or credit card, rural (% age 15+)","Owns a debit or credit card, urban (% age 15+)"
SGP,2011,98.22,98.21,98.23,,,98.22,98.21,98.23,,,,,,,,,48.9,47.96,49.87,,
SGP,2014,96.35,96.07,96.64,,,96.35,96.07,96.64,,,6.15,5.19,7.14,,,,89.99,89.32,90.68,,
SGP,2017,97.93,96.31,99.68,,,97.81,96.31,99.44,,,9.55,7.86,11.38,,,,92.1,92.14,92.05,,
SGP,2021,97.55,96.87,98.27,,97.55,97.19,96.87,97.53,,97.19,30.6,27.07,34.37,,30.6,96.81,93.72,93.08,94.4,,93.72
THA,2011,72.67,72.64,72.7,,,72.67,72.64,72.7,,,,,,,,,43.43,44.98,41.62,,
THA,2014,78.14,75.44,81.24,,,78.14,75.44,81.24,,,1.3,1.73,0.81,,,,55.16,52.34,58.41,,
THA,2017,81.59,79.78,83.69,,,80.96,79.48,82.66,,,8.26,5.63,11.29,,,,60.64,59.08,62.44,,
THA,2021,95.58,92.7,98.61,,,94.15,92.09,96.31,,,60.0,56.61,63.57,,,100.0,67.67,61.46,74.23,,
VNM,2011,21.37,18.91,24.0,,,21.37,18.91,24.0,,,,,,,,,14.96,13.82,16.18,,
VNM,2014,30.95,32.03,29.82,,,30.86,31.86,29.82,,,0.5,0.52,0.48,,,,26.75,29.02,24.37,,
VNM,2017,30.8,30.42,31.21,,,30.02,29.45,30.64,,,3.5,3.63,3.36,,,,27.44,28.15,26.67,,
VNM,2022,56.27,52.78,59.96,,,56.06,52.46,59.88,,,16.47,14.74,18.29,,,95.74,49.24,45.81,52.86,,
WLD,2011,50.63,46.62,54.75,,,50.63,46.62,54.75,,,,,,,,,34.59,31.89,37.37,,
WLD,2014,61.92,58.4,65.49,,,61.12,57.68,64.59,,,2.06,1.6,2.53,,,,43.01,39.6,46.47,,
WLD,2017,68.5,64.85,72.24,,,67.1,63.69,70.61,,,4.35,3.29,5.43,,,,49.49,45.31,53.77,,
WLD,2021,76.2,73.99,78.35,,,73.97,71.9,76.0,,,10.24,8.35,12.09,,,85.64,54.67,51.01,58.25,,
