Variable,VIF
Current account balance (% of GDP),1.8467709919266455
"Current account balance (BoP, current US$)",1.70820914542894
Mobile money account (% age 15+),15.93397774932527
Owns a debit or credit card (% age 15+),25.965934688452684
Received digital payments (% age 15+),55.80578793054083
Mobile Cellular Subscriptions (per 100 people),22.216418688298123
Fixed Broadband Subsciptions (per 100 people),8.157120341274712
Made a digital in-store merchant payment: using a mobile phone (% age 15+),8.564716429552576
Made a utility payment: using a mobile phone (% age 15+),18.08898350188552
"GDP per capita, PPP (constant 2021 international $)",41.74978376482842
Population density (people per sq. km of land area),2.983658859206306
Population growth (annual %),8.783391008572606
"Fertility rate, total (births per woman)",70.84522164158658
"Mortality rate, infant (per 1,000 live births)",27.841678812047732
