Variable,VIF
Current account balance (% of GDP),1.6446723831750234
"Current account balance (BoP, current US$)",1.4043994309983805
Mobile money account (% age 15+),3.0052192709388326
Fixed Broadband Subsciptions (per 100 people),5.29393327160878
Made a digital in-store merchant payment: using a mobile phone (% age 15+),5.109151701045907
"GDP per capita, PPP (constant 2021 international $)",7.993177362681916
Population density (people per sq. km of land area),2.2248975922638987
Population growth (annual %),7.541517634714804
"Mortality rate, infant (per 1,000 live births)",5.520074180181231
