Area,Year,Use per area of cropland_Nutrient nitrogen N (total)
Thailand,2019,56.77
Thailand,2020,64.6
Thailand,2021,62.47
Thailand,2022,50.75
Timor-Leste,2010,0.05
Timor-Leste,2012,0.46
Timor-Leste,2013,0.44
Timor-Leste,2014,0.02
Timor-Leste,2015,0.8
Timor-Leste,2016,0.4
Timor-Leste,2017,0.13
Timor-Leste,2018,0.23
Timor-Leste,2019,0.68
Timor-Leste,2020,0.37
Timor-Leste,2021,0.41
Timor-Leste,2022,0.43
Viet Nam,2010,118.22
Viet Nam,2011,97.71
Viet Nam,2012,116.83
Viet Nam,2013,159.47
Viet Nam,2014,133.3
Viet Nam,2015,147.38
Viet Nam,2016,134.34
Viet Nam,2017,135.62
Viet Nam,2018,136.79
Viet Nam,2019,133.9
Viet Nam,2020,134.22
Viet Nam,2021,134.22
Viet Nam,2022,151.18
