Variable,VIF
Current account balance (% of GDP),1.7460013729166795
"Current account balance (BoP, current US$)",1.4989885042609918
Mobile money account (% age 15+),12.72632413893406
Mobile Cellular Subscriptions (per 100 people),13.796265539059343
Fixed Broadband Subsciptions (per 100 people),7.819153233305738
Made a digital in-store merchant payment: using a mobile phone (% age 15+),5.763503395631509
Made a utility payment: using a mobile phone (% age 15+),15.929037753765131
"GDP per capita, PPP (constant 2021 international $)",14.089602377550483
Population density (people per sq. km of land area),2.5640255489184645
Population growth (annual %),7.698135015308651
"Mortality rate, infant (per 1,000 live births)",5.9833154122658705
