Variable,VIF
Current account balance (% of GDP),1.8047557183406482
"Current account balance (BoP, current US$)",1.663984423080806
Mobile money account (% age 15+),12.94680217453819
Owns a debit or credit card (% age 15+),25.732298353929497
Mobile Cellular Subscriptions (per 100 people),14.827599216570983
Fixed Broadband Subsciptions (per 100 people),8.058122888861883
Made a digital in-store merchant payment: using a mobile phone (% age 15+),6.176459249383636
Made a utility payment: using a mobile phone (% age 15+),16.689636702976177
"GDP per capita, PPP (constant 2021 international $)",24.103472536443544
Population density (people per sq. km of land area),2.842364086070957
Population growth (annual %),7.724406947226939
"Mortality rate, infant (per 1,000 live births)",5.998456586059487
