Variable,VIF
Current account balance (% of GDP),2.034267003869608
"Current account balance (BoP, current US$)",1.8943273670182492
Mobile money account (% age 15+),19.22020910157997
Owns a debit or credit card (% age 15+),29.4575145913023
Received digital payments (% age 15+),62.851265617949316
Mobile Cellular Subscriptions (per 100 people),43.092488583171935
Fixed Broadband Subsciptions (per 100 people),8.617129661951274
Made a digital in-store merchant payment: using a mobile phone (% age 15+),8.836433416493426
Made a utility payment: using a mobile phone (% age 15+),19.193082737932865
Own a mobile phone (% age 15+),179.21424600631525
"GDP per capita, PPP (constant 2021 international $)",45.65810274389912
Population density (people per sq. km of land area),6.118045720282463
Population growth (annual %),8.98437746245928
"Fertility rate, total (births per woman)",93.70411042071125
"Life expectancy at birth, total (years)",451.6385444430083
"Mortality rate, infant (per 1,000 live births)",30.68344772664776
